3D Animation and Visualization,Vehicle Technology,Assistive Technology,Chemistry and Biotechnology,Laboratory Tests,Digital Design,Electronics and Circuit Design,Environmental Technology,Emergency Medical Care,Physical Therapy,Performing Arts,Gerontology,Information Technology,International Business,Construction and Architecture,Creative Work,Lab Work,Patient Care,Social Services,Technology and Engineering,Hands-on Learning,Teamwork,Internships,Distance Learning,Artistic Creativity and Technology,RecommendedStudyPath
2,2,4,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,5,4,1,1,1,2,Apuvälineteknikko
1,1,5,2,1,1,1,2,2,1,2,2,2,2,5,2,1,1,1,4,4,2,2,1,2,Apuvälineteknikko
1,1,5,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,3,5,5,2,1,1,4,Apuvälineteknikko
2,2,4,1,1,2,1,1,2,1,2,2,4,1,3,2,1,2,2,5,5,2,1,2,1,Apuvälineteknikko
1,2,5,2,2,2,1,2,3,1,1,2,4,2,3,1,2,1,1,5,4,1,2,1,2,Apuvälineteknikko
3,1,3,4,4,1,3,4,2,2,2,1,2,1,2,1,2,2,5,2,1,1,1,1,4,Bio- ja kemiantekniikka
2,1,2,4,4,1,2,5,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,Bio- ja kemiantekniikka
1,2,2,5,4,2,3,4,2,1,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,Bio- ja kemiantekniikka
2,1,1,4,4,1,1,5,2,1,5,2,1,1,1,4,2,2,2,2,5,1,2,2,1,Bio- ja kemiantekniikka
2,1,4,4,5,2,2,4,3,1,1,1,2,1,5,2,2,2,1,2,1,2,1,1,2,Bio- ja kemiantekniikka
2,1,1,5,5,1,2,5,2,2,2,2,1,4,2,1,1,1,1,2,2,1,1,1,2,Bio- ja kemiantekniikka
2,2,1,4,4,2,2,4,2,2,2,2,2,5,2,2,2,1,1,1,2,2,5,2,2,Bio- ja kemiantekniikka
1,2,1,5,5,1,1,5,2,1,2,3,2,2,2,1,1,2,1,4,2,2,1,2,2,Bio- ja kemiantekniikka
2,2,2,5,5,2,1,4,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,4,1,Bio- ja kemiantekniikka
1,1,1,4,4,2,3,4,2,2,3,3,1,2,1,1,2,5,2,2,2,2,1,2,5,Bio- ja kemiantekniikka
2,1,2,5,5,2,1,2,1,1,1,2,1,2,2,2,2,4,1,2,1,3,2,2,2,Bioanalyytikko
1,2,1,5,4,2,1,1,1,1,2,1,2,1,1,2,2,4,2,1,1,1,2,2,4,Bioanalyytikko
2,1,2,5,5,1,1,2,2,2,1,2,1,1,1,1,2,4,4,1,2,2,2,2,2,Bioanalyytikko
2,1,2,4,4,1,2,2,2,2,2,2,2,2,1,2,2,3,1,2,2,1,1,2,2,Bioanalyytikko
2,2,1,5,4,2,1,2,1,2,2,1,2,1,1,1,2,4,1,1,1,1,2,1,2,Bioanalyytikko
1,1,2,4,5,2,2,1,1,2,2,2,2,2,1,2,1,5,3,2,2,1,1,1,4,Bioanalyytikko
1,1,2,4,4,1,1,3,3,1,5,2,2,2,2,2,2,5,1,1,1,2,2,3,2,Bioanalyytikko
1,2,1,4,5,1,1,2,1,2,1,5,1,1,2,1,1,5,1,2,1,1,4,5,4,Bioanalyytikko
2,2,1,4,4,1,2,1,1,2,1,2,1,1,2,1,1,4,2,2,2,1,1,2,1,Bioanalyytikko
1,1,1,4,5,2,2,2,2,4,2,1,1,2,2,2,1,4,2,5,1,1,1,2,1,Bioanalyytikko
5,2,1,1,1,5,1,1,1,2,1,2,2,1,2,4,2,3,1,3,2,2,1,2,4,Digitaalinen muotoilu
4,1,1,1,1,5,1,2,2,2,3,1,1,1,2,5,2,1,2,2,1,1,1,4,5,Digitaalinen muotoilu
5,2,1,1,2,5,2,2,2,1,1,2,1,2,2,5,5,1,2,2,1,5,1,4,5,Digitaalinen muotoilu
4,1,1,2,2,4,2,1,2,5,1,5,1,1,2,4,1,2,1,2,2,2,2,5,5,Digitaalinen muotoilu
4,2,2,1,1,4,1,2,2,1,5,2,1,2,4,4,1,1,2,1,1,1,1,4,5,Digitaalinen muotoilu
5,2,2,2,1,5,1,2,1,3,2,2,1,1,2,4,1,2,2,1,1,2,1,5,5,Digitaalinen muotoilu
4,1,1,1,1,4,1,1,2,2,2,1,2,2,1,5,2,1,4,1,2,4,2,4,4,Digitaalinen muotoilu
5,2,2,2,1,5,1,1,2,1,2,2,2,2,1,4,1,2,1,1,3,3,1,5,4,Digitaalinen muotoilu
4,1,1,2,1,5,2,1,1,2,1,1,2,2,2,5,2,2,2,2,2,1,2,5,4,Digitaalinen muotoilu
5,1,2,1,2,5,1,2,2,1,1,1,2,1,2,4,2,2,2,1,3,2,1,4,4,Digitaalinen muotoilu
2,2,1,1,1,2,4,1,1,2,2,1,1,1,2,1,1,2,2,5,5,2,1,2,2,Elektroniikka
2,2,1,2,1,2,4,1,1,2,2,1,2,1,2,2,1,2,2,4,4,1,4,1,1,Elektroniikka
2,2,2,2,1,1,4,1,1,2,2,1,2,2,5,2,2,1,1,5,5,1,2,2,2,Elektroniikka
1,2,2,2,2,2,4,1,2,1,2,2,2,1,2,2,2,2,1,3,5,2,1,2,2,Elektroniikka
1,2,1,2,2,2,5,1,2,1,1,1,1,2,1,1,1,4,2,5,4,1,2,1,2,Elektroniikka
1,1,2,2,1,2,4,1,1,1,2,1,2,2,2,2,2,2,1,5,4,5,1,1,2,Elektroniikka
1,2,1,1,2,2,5,2,1,1,1,1,2,3,2,1,1,1,2,4,5,1,1,4,2,Elektroniikka
1,1,1,1,1,1,4,1,1,1,1,2,2,1,1,1,1,1,1,4,4,1,2,2,4,Elektroniikka
1,2,1,1,2,1,5,1,2,1,2,3,1,1,2,1,1,2,1,5,4,1,2,1,5,Elektroniikka
1,1,1,2,1,1,4,1,1,2,2,2,1,2,1,2,1,1,2,4,4,2,2,4,1,Elektroniikka
1,1,1,2,1,2,2,5,2,2,4,2,2,2,2,2,2,1,5,4,1,1,2,1,2,Energia- ja ympäristötekniikka
1,3,2,2,2,2,1,5,4,2,4,1,2,2,1,4,2,1,1,4,2,1,4,2,2,Energia- ja ympäristötekniikka
1,1,1,3,1,1,1,5,1,2,2,1,1,2,1,1,2,2,1,4,1,2,1,1,2,Energia- ja ympäristötekniikka
1,1,1,1,1,1,2,5,2,1,2,5,2,1,2,1,2,2,2,5,2,1,1,2,1,Energia- ja ympäristötekniikka
2,1,2,3,2,2,1,5,2,1,1,2,2,1,2,2,1,1,1,4,4,2,1,2,2,Energia- ja ympäristötekniikka
1,2,1,1,2,2,1,5,2,1,1,1,1,1,3,2,2,2,1,5,1,1,1,1,2,Energia- ja ympäristötekniikka
1,2,2,3,1,1,2,5,2,1,2,1,2,2,1,1,2,2,1,5,1,4,1,2,2,Energia- ja ympäristötekniikka
2,1,2,3,1,2,1,5,2,4,1,4,4,2,2,2,1,1,1,5,2,1,2,2,4,Energia- ja ympäristötekniikka
2,2,2,2,2,1,1,5,3,2,2,3,1,1,2,2,1,1,4,4,2,1,1,1,1,Energia- ja ympäristötekniikka
1,2,2,3,1,3,1,5,2,2,1,2,2,1,1,1,2,2,2,3,2,1,2,1,1,Energia- ja ympäristötekniikka
1,1,3,2,1,1,1,3,5,4,2,1,1,2,1,1,2,5,2,1,1,2,2,2,5,Ensihoitaja
1,2,2,2,2,1,1,1,5,5,2,2,1,2,2,2,1,4,1,2,2,1,1,2,2,Ensihoitaja
2,1,2,1,1,2,2,2,5,5,2,2,2,2,1,1,2,4,1,2,1,1,3,2,1,Ensihoitaja
2,1,2,1,1,1,2,2,5,5,1,1,2,2,1,1,2,4,3,1,2,2,5,1,1,Ensihoitaja
1,1,3,1,2,2,1,2,5,5,2,1,1,1,1,1,1,4,2,4,2,1,1,2,2,Ensihoitaja
2,1,3,2,1,2,2,1,5,4,3,1,1,2,1,2,1,4,1,5,1,1,2,2,1,Ensihoitaja
1,1,3,2,2,1,1,2,5,4,2,1,5,1,2,1,2,5,5,2,2,1,1,2,1,Ensihoitaja
2,2,3,2,1,2,1,1,5,3,2,2,1,2,2,1,2,4,1,1,2,2,1,2,2,Ensihoitaja
1,2,3,2,1,2,1,1,5,4,1,2,1,1,2,2,1,4,3,1,1,2,1,2,2,Ensihoitaja
1,2,1,1,2,1,4,2,4,5,5,2,2,1,2,1,2,5,1,1,4,1,2,1,2,Ensihoitaja
2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,4,1,1,1,2,2,4,1,1,5,Esitys- ja teatteritekniikka
2,2,4,1,1,2,1,3,3,2,5,2,1,1,1,5,2,2,1,2,1,5,2,1,2,Esitys- ja teatteritekniikka
1,2,3,2,1,1,1,1,3,1,4,2,1,1,2,5,2,1,2,1,1,4,1,1,2,Esitys- ja teatteritekniikka
3,2,3,2,2,2,2,2,2,2,5,1,2,1,1,4,1,2,1,1,3,5,3,1,1,Esitys- ja teatteritekniikka
2,2,2,2,2,1,2,2,2,1,5,1,1,2,2,4,2,4,5,1,1,4,2,2,2,Esitys- ja teatteritekniikka
2,1,2,1,2,2,1,2,1,1,5,1,1,1,1,5,2,1,2,1,1,5,2,1,2,Esitys- ja teatteritekniikka
1,2,2,1,1,1,1,2,2,2,5,1,2,3,1,5,2,1,2,2,1,5,2,2,2,Esitys- ja teatteritekniikka
2,2,2,2,1,2,1,2,1,3,4,2,5,2,1,5,1,1,3,5,3,4,2,1,1,Esitys- ja teatteritekniikka
1,1,4,1,3,2,2,2,1,2,4,1,2,1,1,4,2,1,1,1,1,4,2,1,4,Esitys- ja teatteritekniikka
2,2,2,1,1,2,2,2,1,1,5,1,1,1,1,4,2,2,1,4,2,4,1,1,1,Esitys- ja teatteritekniikka
1,1,2,1,2,1,1,2,1,4,2,1,2,1,2,2,2,3,1,2,4,2,1,2,2,Fysioterapeutti
2,1,2,2,2,1,1,2,1,5,1,1,2,1,2,5,1,5,2,1,5,1,1,1,1,Fysioterapeutti
2,2,1,2,1,2,2,1,1,5,2,5,2,2,1,2,2,5,2,1,4,2,2,2,1,Fysioterapeutti
2,2,2,1,3,1,4,2,2,5,1,1,1,1,2,2,4,4,1,2,4,1,1,1,1,Fysioterapeutti
2,2,2,1,2,2,2,2,1,5,1,5,1,2,1,3,1,5,2,1,5,1,1,1,1,Fysioterapeutti
2,1,2,1,1,2,2,2,2,4,2,1,1,1,2,2,1,5,1,1,5,1,1,3,2,Fysioterapeutti
2,2,2,2,1,2,2,1,1,5,2,1,1,1,2,2,2,5,1,2,5,2,1,2,2,Fysioterapeutti
1,2,2,2,2,1,2,2,2,4,2,4,2,2,3,1,2,4,1,1,5,2,3,5,1,Fysioterapeutti
3,2,2,1,1,2,2,4,2,5,1,3,2,1,2,1,1,5,2,1,4,4,4,2,2,Fysioterapeutti
1,1,4,1,1,1,1,2,2,5,1,2,2,1,1,2,1,5,2,2,5,2,5,2,5,Fysioterapeutti
2,2,3,1,2,1,2,2,2,2,1,5,1,1,4,1,1,5,5,2,1,2,2,1,1,Geronomi
1,2,3,1,2,2,2,1,2,2,1,4,2,1,1,1,1,4,5,2,2,2,1,1,2,Geronomi
1,2,4,1,2,2,1,2,2,1,2,4,1,2,2,1,1,5,5,2,2,2,3,1,2,Geronomi
1,1,4,1,1,1,2,1,3,4,1,4,3,1,2,2,1,4,4,1,2,1,1,2,2,Geronomi
1,2,4,1,2,2,1,2,1,2,1,5,3,2,1,4,1,5,5,1,2,1,4,2,1,Geronomi
1,1,3,1,1,1,1,1,2,2,3,5,2,2,2,1,2,5,5,1,1,2,2,2,2,Geronomi
2,1,4,2,1,2,1,1,1,2,1,5,2,2,2,1,1,5,5,2,2,2,2,2,2,Geronomi
1,2,4,2,1,2,2,1,2,2,2,4,1,2,1,1,1,5,4,2,3,1,2,1,2,Geronomi
2,2,2,2,1,2,2,1,2,1,2,5,2,2,2,1,3,5,4,2,2,3,2,1,2,Geronomi
2,2,3,2,1,1,2,1,2,1,1,5,1,1,1,2,2,4,5,1,2,1,2,2,5,Geronomi
2,2,2,1,2,3,2,1,1,2,1,2,5,2,3,2,1,1,2,3,1,1,3,4,1,Informaatioteknologia
2,1,2,2,2,3,2,1,1,2,1,1,5,1,2,1,2,2,2,2,1,1,2,5,4,Informaatioteknologia
1,2,2,1,2,3,2,2,1,2,2,2,5,2,2,1,4,2,1,1,2,2,2,4,4,Informaatioteknologia
2,1,2,1,2,1,2,2,1,2,1,2,5,2,3,4,1,1,1,2,2,2,2,3,5,Informaatioteknologia
1,2,1,1,2,3,3,2,1,1,1,2,5,2,2,5,2,2,2,2,2,1,2,5,4,Informaatioteknologia
2,2,2,1,1,1,2,2,2,2,1,2,5,1,1,1,2,2,2,1,1,2,3,4,4,Informaatioteknologia
1,1,2,1,1,3,3,1,1,1,5,1,5,1,5,5,2,1,2,2,2,2,2,5,5,Informaatioteknologia
1,1,1,2,2,2,2,1,1,1,1,2,5,2,1,2,2,1,1,1,1,2,3,3,5,Informaatioteknologia
1,1,1,1,2,3,3,1,1,1,2,1,5,1,1,1,2,2,2,2,2,1,2,5,5,Informaatioteknologia
1,2,2,2,2,2,3,1,1,2,1,2,5,1,1,1,2,1,2,1,2,2,3,4,5,Informaatioteknologia
1,1,3,1,2,1,1,1,1,3,1,4,1,1,1,2,1,5,1,1,4,2,2,2,2,Jalkaterapeutti
1,2,2,2,3,1,1,1,1,5,2,1,1,2,1,2,1,4,2,1,4,4,2,2,1,Jalkaterapeutti
2,1,2,1,1,2,2,1,2,5,1,2,2,1,1,1,1,5,1,2,5,2,1,1,1,Jalkaterapeutti
2,2,1,1,1,2,1,2,2,4,1,5,1,1,1,2,1,5,2,2,5,1,1,4,1,Jalkaterapeutti
1,1,2,2,1,2,1,2,2,4,2,1,1,1,2,5,1,4,3,1,4,1,2,2,2,Jalkaterapeutti
2,1,2,2,2,2,2,2,1,5,1,1,2,2,1,3,1,4,1,1,5,2,1,2,2,Jalkaterapeutti
2,1,2,2,2,1,1,2,1,5,1,5,1,1,2,1,2,5,1,5,5,1,2,2,2,Jalkaterapeutti
2,2,1,1,2,1,2,2,2,3,2,2,2,2,1,1,2,5,1,2,4,2,1,2,2,Jalkaterapeutti
2,2,2,1,2,1,2,2,2,5,4,1,2,2,1,2,2,4,2,1,5,1,2,1,1,Jalkaterapeutti
2,2,1,2,1,2,2,2,1,5,2,2,2,2,2,2,1,4,1,2,5,1,1,1,2,Jalkaterapeutti
2,2,1,2,2,1,2,1,2,2,2,2,1,5,2,2,2,1,2,1,2,4,4,2,5,Kansainvälistä kauppaa ja logistiikkaa
2,1,2,1,4,2,2,1,1,1,2,2,2,5,1,1,1,4,1,1,2,4,5,1,1,Kansainvälistä kauppaa ja logistiikkaa
2,3,1,2,2,2,1,1,1,2,1,1,1,5,1,1,2,1,1,2,3,4,4,1,1,Kansainvälistä kauppaa ja logistiikkaa
2,1,1,2,2,3,2,2,1,2,1,3,1,5,1,2,1,1,2,2,2,5,5,1,2,Kansainvälistä kauppaa ja logistiikkaa
1,5,1,1,3,1,1,2,1,4,2,2,1,5,4,2,2,1,1,2,1,5,4,1,1,Kansainvälistä kauppaa ja logistiikkaa
1,1,1,1,1,2,1,1,1,1,1,2,1,5,2,1,1,1,1,2,2,4,5,2,1,Kansainvälistä kauppaa ja logistiikkaa
2,2,2,1,1,2,1,2,1,3,1,2,1,5,4,1,1,2,2,4,3,5,5,2,1,Kansainvälistä kauppaa ja logistiikkaa
1,1,1,1,1,2,2,1,2,2,5,3,1,5,2,2,2,1,1,2,2,5,4,2,2,Kansainvälistä kauppaa ja logistiikkaa
1,1,1,1,3,2,2,1,1,1,1,2,2,5,1,1,1,1,2,2,5,4,5,2,2,Kansainvälistä kauppaa ja logistiikkaa
2,1,1,1,2,1,3,2,1,2,2,2,1,4,1,1,2,1,1,1,1,4,4,2,2,Kansainvälistä kauppaa ja logistiikkaa
2,2,1,2,1,2,1,2,2,2,1,1,1,4,1,4,1,1,5,2,2,5,1,1,2,Kulttuurituottaja
3,1,2,2,1,2,2,1,1,1,1,1,2,2,1,4,1,2,4,1,5,5,1,1,1,Kulttuurituottaja
2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,5,1,2,5,2,1,4,1,1,2,Kulttuurituottaja
1,2,2,2,1,1,2,2,1,1,4,1,2,1,1,4,2,2,5,2,1,5,1,2,2,Kulttuurituottaja
1,1,2,1,2,3,2,2,1,2,2,2,1,1,2,4,1,1,4,1,2,4,2,1,1,Kulttuurituottaja
2,1,1,1,2,1,2,2,1,1,2,1,2,2,3,5,1,2,4,2,1,4,2,2,3,Kulttuurituottaja
4,1,2,2,1,2,3,2,2,2,1,2,1,2,1,4,2,1,5,2,2,4,2,2,1,Kulttuurituottaja
4,1,2,2,1,2,2,1,2,1,1,3,1,1,2,5,1,2,4,1,2,5,1,1,1,Kulttuurituottaja
1,1,1,1,1,1,1,1,2,2,5,5,2,2,2,5,1,1,4,2,2,4,2,1,4,Kulttuurituottaja
2,4,1,1,2,1,2,2,1,2,1,1,2,2,2,5,1,1,4,2,1,5,1,1,1,Kulttuurituottaja
2,1,2,3,2,1,2,1,5,5,1,1,2,2,2,2,1,5,2,2,5,1,2,2,2,Kätilö
2,2,2,2,1,2,1,1,5,4,2,4,2,5,2,1,1,5,2,1,2,4,1,2,3,Kätilö
2,2,2,1,1,2,2,1,4,4,4,2,2,2,1,2,1,5,1,1,2,2,2,2,2,Kätilö
1,2,1,1,1,1,2,1,5,4,1,2,1,1,1,1,2,5,2,5,1,2,1,2,2,Kätilö
2,2,2,2,1,1,2,1,4,5,2,1,1,1,1,1,2,4,4,2,1,2,2,5,2,Kätilö
1,1,3,1,2,1,2,1,5,4,1,1,2,1,4,5,2,5,2,2,1,1,2,1,1,Kätilö
2,2,2,1,1,2,1,1,5,4,2,1,2,1,2,2,2,4,1,1,2,4,2,2,2,Kätilö
2,2,3,2,2,2,2,3,5,4,2,1,5,1,1,4,1,5,2,1,2,2,2,1,2,Kätilö
2,2,2,1,3,1,1,2,5,4,1,1,2,2,2,1,4,4,2,2,1,1,2,1,2,Kätilö
1,1,4,1,1,1,1,1,5,4,1,2,2,2,2,2,1,5,1,2,2,2,4,5,1,Kätilö
3,2,2,5,5,1,1,2,1,3,2,2,2,1,1,1,1,4,2,4,1,2,1,1,5,Laboratorioanalyytikko
2,2,1,4,5,2,1,2,2,2,2,1,2,1,2,1,2,4,1,1,1,1,4,2,2,Laboratorioanalyytikko
1,2,1,5,4,1,2,2,1,1,2,2,5,1,1,2,1,5,2,5,1,1,3,2,1,Laboratorioanalyytikko
2,1,2,4,5,2,1,2,1,1,2,1,1,2,1,1,4,4,1,1,2,1,1,2,2,Laboratorioanalyytikko
3,1,1,4,4,2,1,2,1,3,2,1,1,1,1,2,1,5,2,2,2,2,1,4,1,Laboratorioanalyytikko
2,2,1,5,4,1,2,2,1,1,2,3,2,2,2,1,2,5,2,1,3,1,1,1,1,Laboratorioanalyytikko
2,2,2,5,5,3,1,2,2,2,1,1,1,1,1,2,2,5,1,2,2,1,2,1,1,Laboratorioanalyytikko
2,1,2,4,4,1,2,1,2,2,2,2,4,2,2,2,1,4,5,2,2,1,1,1,4,Laboratorioanalyytikko
2,1,2,5,5,2,1,2,2,2,1,2,1,1,2,2,2,4,1,2,2,1,2,1,1,Laboratorioanalyytikko
2,2,2,4,5,3,2,3,1,2,2,2,5,1,2,2,1,4,2,2,1,1,2,2,2,Laboratorioanalyytikko
2,2,1,1,1,1,1,4,2,1,1,1,1,1,2,1,2,1,1,4,4,2,3,1,1,Maanmittaustekniikka
2,1,1,2,2,2,2,4,2,2,1,1,1,1,1,1,2,2,2,5,5,1,2,2,1,Maanmittaustekniikka
2,1,1,2,1,2,2,3,2,1,2,4,1,3,4,5,3,2,1,5,5,1,4,2,1,Maanmittaustekniikka
2,2,2,2,2,1,1,4,2,2,2,1,1,3,1,1,2,1,1,4,5,3,1,2,1,Maanmittaustekniikka
4,2,2,2,1,1,2,4,1,2,4,1,5,1,2,1,1,1,2,5,5,1,2,2,5,Maanmittaustekniikka
1,2,2,2,1,2,2,4,1,2,1,3,1,2,2,1,2,2,2,4,4,1,2,1,1,Maanmittaustekniikka
2,1,1,4,1,2,2,4,1,1,1,2,2,1,2,1,1,2,1,5,5,2,2,2,2,Maanmittaustekniikka
2,2,2,2,2,2,2,4,2,1,1,3,1,2,1,2,2,2,1,4,4,2,1,2,1,Maanmittaustekniikka
2,2,2,1,2,1,1,4,1,2,1,5,2,1,1,1,1,1,2,5,4,2,2,2,1,Maanmittaustekniikka
1,2,2,2,1,2,2,4,2,1,1,1,1,1,1,2,2,2,2,5,5,1,1,1,2,Maanmittaustekniikka
2,2,1,2,1,5,1,1,2,1,5,1,2,1,1,4,1,2,1,2,2,2,1,1,2,Media ja elokuva
3,2,1,2,1,4,1,3,2,2,5,2,1,2,2,4,5,1,3,2,2,1,1,2,1,Media ja elokuva
2,1,2,1,1,5,2,2,2,1,4,4,2,2,1,5,1,1,2,4,1,2,1,4,5,Media ja elokuva
2,1,2,1,2,4,2,1,1,2,4,1,1,1,2,4,2,1,2,2,2,2,1,5,5,Media ja elokuva
1,1,1,1,1,5,2,1,2,1,5,1,1,1,1,4,1,4,1,1,2,1,2,1,1,Media ja elokuva
2,2,1,1,1,4,1,2,4,2,5,2,2,1,1,4,1,2,2,2,3,2,2,1,1,Media ja elokuva
2,2,2,2,1,4,1,2,1,2,5,4,2,2,2,4,2,2,1,2,1,2,2,2,2,Media ja elokuva
2,2,2,1,2,5,2,2,2,1,4,1,2,1,2,4,1,1,1,1,1,1,1,2,2,Media ja elokuva
2,3,1,2,2,5,2,1,1,1,4,2,2,2,2,5,2,2,2,2,1,4,1,1,1,Media ja elokuva
1,2,1,2,2,4,2,2,2,2,4,1,2,1,1,4,1,2,1,2,1,1,2,2,2,Media ja elokuva
4,2,1,1,2,4,3,1,2,1,1,5,1,2,1,1,2,2,1,2,1,2,1,2,4,Motion Graphics
5,1,1,1,1,4,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,5,Motion Graphics
4,1,2,1,2,4,2,2,2,2,4,2,1,5,1,2,1,2,4,4,1,2,2,1,5,Motion Graphics
4,1,2,1,2,4,2,1,2,1,1,3,1,2,1,1,2,2,1,2,2,1,2,2,4,Motion Graphics
4,2,1,2,2,5,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,Motion Graphics
5,1,2,2,2,4,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,5,Motion Graphics
4,1,1,2,2,4,3,1,2,1,1,1,1,2,2,1,1,1,2,2,4,4,2,1,4,Motion Graphics
4,3,1,2,2,5,1,2,2,1,4,2,2,2,2,2,1,1,1,1,1,2,2,2,4,Motion Graphics
5,1,1,2,2,5,2,2,2,1,2,2,2,1,3,1,2,2,1,3,2,1,2,1,5,Motion Graphics
5,2,1,2,2,4,1,2,2,1,2,1,2,1,4,1,3,1,2,2,1,1,2,2,5,Motion Graphics
2,1,1,1,3,1,2,1,3,1,4,1,2,2,2,5,2,1,1,2,2,4,2,2,2,Musiikkipedagogi ja muusikko
2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,5,1,2,1,1,2,4,2,4,2,Musiikkipedagogi ja muusikko
1,2,2,2,1,2,1,2,2,1,4,2,2,2,2,4,4,2,1,2,3,4,3,2,2,Musiikkipedagogi ja muusikko
2,2,1,1,2,1,1,1,1,1,5,2,2,4,1,4,2,2,1,5,3,4,1,2,1,Musiikkipedagogi ja muusikko
1,2,2,1,1,2,1,2,3,2,5,1,1,2,2,3,1,2,2,1,2,5,1,2,2,Musiikkipedagogi ja muusikko
2,1,2,1,2,1,1,1,2,4,4,2,1,1,2,5,2,1,1,2,1,4,1,3,1,Musiikkipedagogi ja muusikko
3,2,2,2,2,1,1,2,1,1,5,2,2,1,4,5,2,1,1,2,1,4,2,1,1,Musiikkipedagogi ja muusikko
1,2,2,2,1,1,1,2,1,2,5,1,2,2,2,4,1,2,1,2,2,5,1,1,2,Musiikkipedagogi ja muusikko
2,2,1,2,2,2,2,2,2,1,5,1,1,3,1,5,2,2,1,1,1,5,1,1,4,Musiikkipedagogi ja muusikko
